lat,lon
26.6385811,-80.2567418
26.9268745,-80.0893693
26.9265397,-80.0897824
26.9271159,-80.0894981
26.9271949,-80.09041
26.9267789,-80.0899648
26.8283965,-80.045304
26.3728413,-80.1069508
26.3728413,-80.1068935
26.3727899,-80.1067966
26.3727943,-80.1067304
26.3728094,-80.1071229
26.3727881,-80.1070378
26.3728014,-80.1070823
26.372843,-80.1067699
26.3728439,-80.1067086
26.3728422,-80.1066444
26.3727917,-80.1065554
26.3728422,-80.106592
26.3737162,-80.107219
26.3736266,-80.1072535
26.3735255,-80.1072917
26.3734245,-80.1073172
26.3733446,-80.1073318
26.394398,-80.0977251
26.3944028,-80.097595
26.3940419,-80.1001345
26.3940696,-80.100013
26.3940973,-80.0999026
26.3742752,-80.1031457
26.3742805,-80.1032534
26.3745001,-80.1031496
26.3743903,-80.1031466
26.3743938,-80.1029341
26.3745019,-80.1029321
26.3741724,-80.1032554
26.374176,-80.1031496
26.3740546,-80.1029282
26.3740617,-80.1030359
26.3745001,-80.1032524
26.3743894,-80.1032564
26.3741706,-80.103034
26.3742849,-80.1030419
26.3739483,-80.103144
26.3739528,-80.1032503
26.3740617,-80.103144
26.3740626,-80.1032513
26.3743956,-80.103029
26.3745033,-80.1030324
26.3725183,-80.1003132
26.3712107,-80.1009098
26.369447,-80.0978033
26.3694485,-80.098257
26.3694497,-80.0979498
26.3694506,-80.0981055
26.3694904,-80.0985043
26.3694935,-80.097886
26.369495,-80.0983397
26.3694962,-80.0980325
26.3694971,-80.0981882
26.369501,-80.0977314
26.3711342,-80.1003122
26.371138,-80.100245
26.3711457,-80.1003894
26.3712034,-80.1000878
26.3712052,-80.1002274
26.3712057,-80.100309
26.3712061,-80.1003811
26.3712066,-80.1004627
26.3712093,-80.1006745
26.3712098,-80.1007561
26.3712102,-80.1008282
26.3717867,-80.0997515
26.3717869,-80.0996987
26.3717873,-80.0996307
26.3717875,-80.0995779
26.3717879,-80.0995028
26.3717882,-80.0994442
26.3717885,-80.0993899
26.3717888,-80.0993123
26.3717891,-80.0992594
26.3717894,-80.0991915
26.3717897,-80.0991386
26.3717901,-80.0990636
26.3717904,-80.0990049
26.3717907,-80.0989335
26.371791,-80.0988699
26.3717914,-80.0987991
26.3717916,-80.0987463
26.3717919,-80.0986898
26.3717926,-80.0985476
26.3717929,-80.0984947
26.3717933,-80.0984154
26.3717939,-80.0982917
26.3717941,-80.0982388
26.3717945,-80.0981688
26.3717947,-80.0981159
26.3717951,-80.0980466
26.3717954,-80.097973
26.3717957,-80.0979201
26.3717968,-80.0976921
26.3717971,-80.0976307
26.3717977,-80.0975106
26.3718054,-80.0974606
