lat,lon,type
26.3658693,-80.1069062,tree
26.365874,-80.107003,tree
26.3658785,-80.1070973,tree
26.3658829,-80.1071869,tree
26.3672889,-80.105641,tree
26.3683763,-80.1035189,tree
26.3673457,-80.1044113,tree
26.3673445,-80.1044882,tree
26.3673747,-80.105502,tree
26.3674255,-80.1044113,tree
26.3674279,-80.1044801,tree
26.3674303,-80.1045463,tree
26.3674036,-80.1058333,tree
26.3674424,-80.1039792,tree
26.367492,-80.1045517,tree
26.3675162,-80.1039819,tree
26.3675912,-80.1039819,tree
26.3678186,-80.1040252,tree
26.3678815,-80.1051497,tree
26.369503,-80.1013395,tree
26.3697795,-80.095259,tree
26.3698641,-80.0954466,tree
26.3707677,-80.1075512,tree
26.3708064,-80.1075485,tree
26.3708064,-80.1075849,tree
26.3708367,-80.1075606,tree
26.3709745,-80.1079332,tree
26.3709939,-80.1078576,tree
26.3710012,-80.1078968,tree
26.3710241,-80.1075498,tree
26.3710253,-80.1075836,tree
26.3710193,-80.1078239,tree
26.3710169,-80.1079521,tree
26.3710689,-80.1075701,tree
26.3711475,-80.108268,tree
26.3711548,-80.1082221,tree
26.3712467,-80.1075336,tree
26.3715188,-80.1075647,tree
26.3715745,-80.1075728,tree
26.371589,-80.107859,tree
26.3715866,-80.1082113,tree
26.3716168,-80.1081965,tree
26.3716011,-80.1082397,tree
26.371755,-80.1089929,tree
26.3717541,-80.109096,tree
26.3717533,-80.1092029,tree
26.3717396,-80.1094989,tree
26.3717392,-80.109601,tree
26.3717387,-80.1097089,tree
26.3717861,-80.1075579,tree
26.3717858,-80.1093079,tree
26.3717849,-80.1093986,tree
26.3718918,-80.1089977,tree
26.3718927,-80.1090989,tree
26.3718935,-80.1092048,tree
26.371879,-80.1095084,tree
26.3718807,-80.1096095,tree
26.3718824,-80.109706,tree
26.3720382,-80.1089053,tree
26.3720474,-80.1097963,tree
26.372141,-80.1089107,tree
26.3721623,-80.109803,tree
26.3724967,-80.1000521,tree
26.3725634,-80.1000827,tree
26.3729782,-80.1108622,tree
26.3730518,-80.1110913,tree
26.3731065,-80.1108879,tree
26.3731202,-80.1109624,tree
26.3731176,-80.1112383,tree
26.3731522,-80.1008907,tree
26.3731382,-80.1110464,tree
26.3731749,-80.111329,tree
26.3732314,-80.1114302,tree
26.3732465,-80.1008894,tree
26.373249,-80.1009731,tree
26.3732478,-80.1010582,tree
26.3732665,-80.1114817,tree
26.3733276,-80.1008934,tree
26.3733276,-80.1009758,tree
26.3733276,-80.1010501,tree
26.3733276,-80.1011365,tree
26.3733605,-80.1110894,tree
26.3733665,-80.1116564,tree
26.3734265,-80.0973176,tree
26.3734153,-80.1111027,tree
26.3734461,-80.111729,tree
26.3734751,-80.1109166,tree
26.3734828,-80.1110846,tree
26.3735284,-80.0973334,tree
26.3735401,-80.1112937,tree
26.3735495,-80.1110159,tree
26.3735444,-80.1112335,tree
26.3735547,-80.1115104,tree
26.3735513,-80.111559,tree
26.3735752,-80.1113509,tree
26.3736185,-80.0973559,tree
26.3736795,-80.10115,tree
26.3736795,-80.1012013,tree
26.3737045,-80.0973851,tree
26.3736808,-80.1010892,tree
26.3737945,-80.0974244,tree
26.3739013,-80.097484,tree
26.373982,-80.0975395,tree
26.374066,-80.0976087,tree
26.3705272,-80.1090026,tree
26.3705235,-80.1090597,tree
26.3705917,-80.106207,tree
26.3705983,-80.1063967,tree
26.3706929,-80.1113455,tree
26.3707519,-80.1113481,tree
26.3708054,-80.111413,tree
26.3708152,-80.1114857,tree
26.3708631,-80.1091221,tree
26.370918,-80.1091044,tree
26.3709496,-80.1090743,tree
26.3709803,-80.1092851,tree
26.3709822,-80.1093619,tree
26.3709859,-80.1094429,tree
26.3709822,-80.1095156,tree
26.3709784,-80.1095883,tree
26.3710371,-80.1091979,tree
26.3710752,-80.1091626,tree
26.3716229,-80.1097385,tree
26.3716233,-80.1097635,tree
26.3716237,-80.1097884,tree
26.3716251,-80.1098706,tree
26.3716255,-80.1098971,tree
26.3716887,-80.1103039,tree
26.3722268,-80.1111719,tree
26.3722663,-80.1111366,tree
26.3724334,-80.1123453,tree
26.3724545,-80.1123717,tree
26.3724545,-80.1124026,tree
26.3724781,-80.1113775,tree
26.3724926,-80.1114142,tree
26.3724952,-80.1123644,tree
26.37249,-80.1124085,tree
26.3725308,-80.1114215,tree
26.3725163,-80.1124481,tree
26.3727255,-80.111915,tree
26.3727847,-80.1118577,tree
26.3786785,-80.0988667,tree
26.3786723,-80.0989647,tree
26.3786778,-80.0990742,tree
26.3786819,-80.0986562,tree
26.3786867,-80.0987595,tree
26.3787807,-80.0986501,tree
26.3787793,-80.0987588,tree
26.3787766,-80.0988629,tree
26.3787834,-80.0989739,tree
26.3787759,-80.0990681,tree
26.3694969,-80.1093046,tree
26.3695172,-80.1092301,tree
26.3695974,-80.1090812,tree
26.3697046,-80.1089521,tree
26.3697502,-80.1089144,tree
26.3697511,-80.1101708,tree
26.3698001,-80.1088673,tree
26.3698085,-80.1102349,tree
26.3698406,-80.1088154,tree
26.3698837,-80.1087739,tree
26.3701336,-80.110201,tree
26.3701691,-80.1101661,tree
26.3701737,-80.1108761,tree
26.3701729,-80.1109496,tree
26.3702025,-80.1108139,tree
26.3702168,-80.1110316,tree
26.3702514,-80.110779,tree
26.3702725,-80.1110071,tree
26.3703194,-80.1113701,tree
26.3703202,-80.1100643,tree
26.3703342,-80.1109477,tree
26.370335,-80.1109911,tree
26.3703764,-80.1109618,tree
26.3703887,-80.1112815,tree
26.3704305,-80.110778,tree
26.3704144,-80.1108148,tree
26.3704051,-80.1108553,tree
26.370425,-80.1112381,tree
26.3704566,-80.1108223,tree
26.3704638,-80.1111976,tree
26.3705111,-80.1111542,tree
26.3705592,-80.1098909,tree
26.3705916,-80.106255,tree
26.3705923,-80.1063031,tree
26.3705919,-80.1061591,tree
26.370593,-80.1063507,tree
26.3706056,-80.106471,tree
26.370603,-80.1066246,tree
26.370617,-80.1066829,tree
26.370617,-80.106754,tree
26.3706132,-80.1068109,tree
26.3707269,-80.1107809,tree
26.370775,-80.1065364,tree
26.3708884,-80.1065407,tree
26.3710345,-80.1106396,tree
26.3711193,-80.1106236,tree
26.3713773,-80.1105489,tree
26.3715003,-80.1104556,tree
26.372101,-80.1107475,tree
26.3658489,-80.1005548,tree
26.3658476,-80.1005969,tree
26.3658476,-80.1006489,tree
26.3658744,-80.1007038,tree
26.3658731,-80.1007836,tree
26.3658687,-80.1007687,tree
26.3658604,-80.1008043,tree
26.3658872,-80.1005121,tree
26.3658949,-80.100763,tree
26.3658821,-80.1008499,tree
26.3659191,-80.1004921,tree
26.3659301,-80.1009723,tree
26.3661601,-80.1004185,tree
26.3671338,-80.1010917,tree
26.3671663,-80.1009476,tree
26.3671654,-80.100996,tree
26.3671618,-80.1011774,tree
26.3671962,-80.1011048,tree
26.3672359,-80.101005,tree
26.3673822,-80.1011643,tree
26.3674409,-80.1011411,tree
26.3674418,-80.1011774,tree
26.3674861,-80.1010766,tree
26.3675078,-80.1010413,tree
26.367496,-80.1011784,tree
26.3676505,-80.1010444,tree
26.3676721,-80.1010968,tree
26.3676956,-80.1010484,tree
26.3677462,-80.1011542,tree
26.3677697,-80.1010565,tree
26.367841,-80.1010665,tree
26.3678347,-80.1011875,tree
26.3678826,-80.1011573,tree
26.3678844,-80.1011835,tree
26.3679431,-80.1011502,tree
26.3679991,-80.1011522,tree
26.3680271,-80.1010464,tree
26.3681107,-80.101153,tree
26.3681515,-80.1010525,tree
26.3681681,-80.1011879,tree
26.3682243,-80.1011858,tree
26.3682703,-80.101056,tree
26.3682729,-80.1011508,tree
26.3683329,-80.1011494,tree
26.368407,-80.1010974,tree
26.3684472,-80.101153,tree
26.3684466,-80.1011957,tree
26.3684766,-80.1010432,tree
26.3685571,-80.1011515,tree
26.3686165,-80.1010517,tree
26.3686631,-80.101081,tree
26.3686529,-80.1012014,tree
26.3687052,-80.1010268,tree
26.3687212,-80.1011558,tree
26.3687097,-80.1011943,tree
26.368767,-80.1003031,tree
26.3688136,-80.1001599,tree
26.3687932,-80.1002033,tree
26.3688416,-80.1001851,tree
26.3695995,-80.1001698,tree
26.3696041,-80.1002444,tree
26.3696036,-80.1002873,tree
26.3696023,-80.1003689,tree
26.3696045,-80.1004823,tree
26.3696045,-80.1005473,tree
