lat,lon
26.3923501,-80.100092
26.4537545,-80.0915024
26.3677479,-80.1739372
26.3677648,-80.1823702
26.3677657,-80.1790265
26.3681055,-80.1815341
26.3681129,-80.171938
26.3681155,-80.1792798
26.3677489,-80.1859369
26.3680934,-80.1901638
26.3681038,-80.1847948
26.3677589,-80.1923819
26.3681232,-80.1953958
26.367038,-80.2037352
26.7819467,-80.0870062
26.3869911,-80.1181892
26.3873611,-80.1184614
26.3716941,-80.1009862
26.7152925,-80.0547832
26.2990836,-80.2503834
26.6175484,-80.1800355
26.6175696,-80.1776475
26.6536264,-80.2494946
26.6282082,-80.2013385
26.6511275,-80.1706918
26.6512349,-80.1575907
26.3674653,-80.0783594
26.3696038,-80.0770665
26.7098596,-80.0552208
26.2738113,-80.2056495
26.3646419,-80.1290687
26.3173264,-80.2016471
26.2921834,-80.2359242
26.2970931,-80.2498371
26.2741002,-80.1830005
26.285111,-80.1866236
26.2770397,-80.2503993
26.2828412,-80.2504357
26.2719589,-80.2503786
26.286492,-80.2504719
26.2882709,-80.2505134
26.2918017,-80.2493634
26.2967602,-80.2501021
26.2743419,-80.1972936
26.2741104,-80.2070086
26.2835421,-80.2501608
26.3908436,-80.1132023
26.4184838,-80.0959234
26.3452646,-80.203484
26.3460066,-80.2029983
26.3478627,-80.2030165
26.3428988,-80.2034636
26.3395672,-80.2029281
26.3388778,-80.2034023
26.3363531,-80.2028912
26.3334892,-80.2028407
26.7260072,-80.0886932
26.895674,-80.0582246
26.3501593,-80.1534283
26.3507,-80.1461166
26.350819,-80.1348352
26.2744937,-80.1636965
26.3513208,-80.1286271
26.2736019,-80.1855174
26.2741472,-80.1871192
26.2736969,-80.1814396
26.2741356,-80.1622759
26.2745446,-80.1609387
26.2742657,-80.1514838
26.2747415,-80.1484804
26.2746737,-80.1350577
26.3042587,-80.2785461
26.4083552,-80.120376
26.386727,-80.1144691
26.3867181,-80.1111367
26.3673672,-80.0805178
26.3671936,-80.0836131
26.3932216,-80.0837207
26.2976081,-80.1866448
26.273898,-80.1735918
26.2860145,-80.1357464
26.2872134,-80.1360289
26.8482659,-80.082096
26.7123923,-80.0621802
26.3231436,-80.1863776
26.3176779,-80.1846731
26.3169528,-80.0910605
26.3185298,-80.095519
26.3184439,-80.1075204
26.3675484,-80.1139698
26.7121842,-80.062141
26.2873394,-80.2021795
26.2880146,-80.2017384
26.285582,-80.2021915
26.2836828,-80.2021131
26.281549,-80.2021674
26.2827172,-80.2016799
26.280566,-80.2045231
26.2784334,-80.2053854
26.2770252,-80.2060117
26.274989,-80.206298
26.2736776,-80.2062705
26.2733055,-80.206577
26.3351074,-80.2033442
26.336123,-80.2002697
26.334599,-80.1996743
26.3311476,-80.2032222
26.3307834,-80.2019186
26.325821,-80.2029982
26.3267291,-80.2026455
26.3237163,-80.2025919
26.3227691,-80.2029292
26.3196903,-80.2028809
26.3183334,-80.2023719
26.3166938,-80.202724
26.3127604,-80.2021138
26.3111928,-80.2024309
26.3085216,-80.202388
26.308646,-80.2020152
26.3052792,-80.2020004
26.2963,-80.2023538
26.2928289,-80.2022204
26.2937913,-80.2018569
26.742242,-80.0352113
26.7429962,-80.0353836
26.7498529,-80.0368984
26.7502199,-80.0368065
26.7520187,-80.0367972
26.7520097,-80.0369051
26.7545671,-80.0364941
26.7562226,-80.0366516
26.757965,-80.0368253
26.7616496,-80.0372256
26.7635847,-80.0374731
26.7672114,-80.039356
26.7671698,-80.0392393
26.7707511,-80.0392487
26.3568179,-80.1994847
26.5294566,-80.2011824
26.617457,-80.1906313
26.3629417,-80.0903213
26.7851544,-80.1122028
26.7850676,-80.1086301
26.8483159,-80.082274
26.7731081,-80.0551837
26.7734332,-80.0549336
26.774833,-80.0551414
26.7751178,-80.0548876
26.7768491,-80.0550925
26.7774819,-80.054831
26.7798567,-80.0550174
26.780179,-80.0547834
26.7821961,-80.0550006
26.783745,-80.0547039
26.7851748,-80.0548967
26.7859997,-80.0546177
26.7871265,-80.0547851
26.788186,-80.0544585
26.7894529,-80.0545856
26.7906474,-80.0542151
26.7920196,-80.0543643
26.7923273,-80.0541309
26.794345,-80.0542265
26.7946425,-80.0545152
26.796217,-80.0544038
26.7965178,-80.0546784
26.7989353,-80.0546654
26.7993686,-80.0549487
26.803472,-80.055407
26.8032676,-80.0551254
26.8069753,-80.0559656
26.8077962,-80.0557999
26.8106515,-80.056394
26.8139125,-80.0570143
26.8137216,-80.0573047
26.8168275,-80.0578558
26.8176351,-80.0576942
26.8215736,-80.0592332
26.8209767,-80.0593354
26.8263094,-80.061216
26.8259674,-80.0608137
26.8341174,-80.0599017
26.8349267,-80.0596995
26.8372844,-80.0609136
26.8402647,-80.0620897
26.8417135,-80.0618681
26.8443002,-80.062026
26.8440439,-80.0619898
26.8447824,-80.0699211
26.8444728,-80.0697551
26.8448698,-80.0748443
26.8445781,-80.0752533
26.8451241,-80.08325
26.8446077,-80.0779342
26.8447681,-80.0819424
26.7356463,-80.0532545
26.7356948,-80.0547291
26.7356056,-80.0550033
26.7356439,-80.0565181
26.7371854,-80.0566854
26.7382957,-80.0568949
26.7390134,-80.0566391
26.7409958,-80.0568125
26.7416827,-80.0565533
26.7427666,-80.0567501
26.7438283,-80.0564819
26.7456445,-80.0564272
26.7460188,-80.0566509
26.749408,-80.0566086
26.7494649,-80.0563779
26.7510948,-80.0564463
26.7513139,-80.0562029
26.7530396,-80.0562653
26.7534195,-80.0559924
26.7559107,-80.0559991
26.7560083,-80.0557449
26.7584808,-80.0555052
26.7592891,-80.0556678
26.761379,-80.0554714
26.7622448,-80.0551307
26.7641439,-80.0554251
26.7058998,-80.0552749
26.7064845,-80.0543857
26.7069307,-80.0549839
26.70923,-80.0549232
26.711538,-80.0551525
26.7121888,-80.0549032
26.7138312,-80.0550751
26.7130255,-80.0625953
26.7128267,-80.062598
26.7145116,-80.0614205
26.7143858,-80.0572503
26.7145781,-80.0562847
26.7171462,-80.0552018
26.7186918,-80.0535207
26.7202005,-80.0532438
26.7204087,-80.0534252
26.7222789,-80.0532136
26.7233668,-80.0533692
26.7242601,-80.0531073
26.7255676,-80.0530684
26.7256736,-80.0532798
26.7285139,-80.0530014
26.7288391,-80.0531814
26.7317536,-80.0528985
26.7315183,-80.0530943
26.7336602,-80.0528153
26.7336194,-80.0530218
26.6759933,-80.0546027
26.6759853,-80.0548531
26.6795361,-80.0545463
26.6813987,-80.0547173
26.6815272,-80.0544967
26.6825188,-80.0546872
26.685173,-80.0543914
26.6857949,-80.0545926
26.6893381,-80.0545292
26.6901421,-80.0542627
26.6917863,-80.054423
26.6926879,-80.0541738
26.692912,-80.0543857
26.6942165,-80.0542895
26.6951723,-80.0540894
26.6956154,-80.0542637
26.6971957,-80.0539737
26.6979969,-80.0541614
26.6993011,-80.0538858
26.6996658,-80.0541044
26.7026345,-80.053973
26.7033649,-80.0537298
26.6457242,-80.0561946
26.6456232,-80.0563991
26.647308,-80.0563722
26.648218,-80.0561168
26.6504439,-80.0560363
26.6505866,-80.0562794
26.6518589,-80.055987
26.6523831,-80.0562105
26.6532085,-80.0559515
26.6549324,-80.0558881
26.6543974,-80.056151
26.6566568,-80.0560591
26.6576402,-80.055808
26.6583806,-80.0559786
26.6596921,-80.0557594
26.6607265,-80.0559247
26.6637128,-80.0555076
26.6633925,-80.0557473
26.6650626,-80.0556497
26.6651744,-80.0553929
26.6668759,-80.0555069
26.6673511,-80.0552487
26.6688932,-80.0553438
26.6694438,-80.0550908
26.6705005,-80.0552561
26.671867,-80.0551197
26.673081,-80.0547918
26.6090251,-80.0659316
26.6087543,-80.0655518
26.616944,-80.0574535
26.6189325,-80.0571337
26.6201599,-80.0571135
26.6204036,-80.0572852
26.6225839,-80.0570146
26.6228416,-80.0572037
26.6253237,-80.0569291
26.625237,-80.0571169
26.6274584,-80.0568398
26.6278992,-80.0570512
26.6298128,-80.0569553
26.6302207,-80.0567595
26.6322476,-80.0566921
26.632301,-80.0568721
26.6349165,-80.0567809
26.6352959,-80.0565845
26.6375712,-80.0566948
26.6377216,-80.0564899
26.6402156,-80.0566073
26.6410265,-80.05639
26.642702,-80.0563122
26.6435408,-80.0565178
26.5850312,-80.0520344
26.5849131,-80.0518122
26.5874928,-80.0519355
26.5898775,-80.052126
26.5899375,-80.0519456
26.5927389,-80.052771
26.5928121,-80.0525974
26.5963506,-80.0546838
26.5962697,-80.0544401
26.5987664,-80.0560038
26.5987679,-80.0557778
26.5999892,-80.0564292
26.6009222,-80.0571546
26.6036013,-80.0576785
26.6035929,-80.0578693
26.60638,-80.0577767
26.6070514,-80.0575551
26.6087666,-80.0577043
26.611214,-80.0576057
26.6112793,-80.0574166
26.6130788,-80.0575511
26.613713,-80.0572785
26.6156338,-80.0572145
26.6728571,-80.2479343
26.5095139,-80.0592714
26.5093867,-80.0595966
